9532,-227,5025,-153,54,259
10610,2493,1055,-114,26,249
11503,3633,-2382,-63,-39,225
11128,3270,-4729,-47,-108,208
9001,2011,-3621,-33,-134,209
6344,-957,442,-23,-131,217
4401,-3937,3403,-32,-89,228
2324,-5560,5312,-29,-83,229
399,-6765,4571,-9,-102,223
-2988,-6324,2222,0,-109,211
-6549,-5203,1842,-1,-104,208
-8307,-4277,2234,-6,-88,209
-10340,-2849,2548,-2,-82,209
-10578,-1937,1072,0,-81,206
-8921,-630,-881,-1,-79,202
-7194,-688,-3731,-7,-73,195
-6603,-312,-5759,-7,-69,189
-5766,482,-5680,1,-60,178
-4643,1131,-5653,9,-51,173
-3674,1451,-4444,7,-48,172
-3239,849,-3639,6,-48,175
-3066,156,-3076,9,-58,170
-2907,-671,-2195,10,-66,156
-3069,-1348,-1598,37,-93,142
-2758,-1761,-939,61,-154,139
-2034,-2250,-1288,74,-198,121
379,-2133,-615,186,-292,76
4954,148,-1883,323,-339,4
6960,3595,-1389,270,-321,-17
8275,1399,3635,203,-248,1
9182,-2072,4515,214,-232,13
9972,73,2621,191,-192,38
10783,2093,-1591,182,-165,72
11107,2707,-5228,164,-163,115
9954,3409,-5250,155,-151,139
7736,3421,-4328,122,-129,177
5618,2608,-2020,92,-111,210
3315,962,2283,80,-104,219
2671,-1197,5456,63,-97,216
2548,-3811,5045,43,-109,211
820,-4575,3923,33,-118,213
-2618,-4134,2993,24,-127,220
-5037,-3331,3056,21,-121,236
-6100,-2867,2456,23,-118,241
-8297,-2553,2508,33,-115,243
-9180,-2435,1980,39,-117,236
-8660,-2926,701,44,-116,232
-8935,-3298,-635,60,-115,228
-9548,-3009,-1120,80,-123,226
-8883,-2904,-1789,94,-128,226
-7892,-2349,-1814,95,-138,229
-7039,-2027,-2581,78,-127,232
-6021,-1322,-2416,73,-118,229
-4716,-991,-1930,63,-111,214
-3667,-1480,-1653,24,-120,205
-2793,-2024,-434,-4,-124,201
-981,-2870,-439,-84,-116,189
2490,-2628,-656,-160,-97,175
3640,-2812,-407,-247,-97,180
7004,-1323,-235,-318,-91,219
8604,1211,496,-485,-103,206
9298,4490,2024,-512,-110,183
9907,2921,5246,-512,-96,180
10335,472,6871,-465,-87,197
10755,1245,4467,-415,-102,207
11345,2298,835,-285,-122,236
11776,2902,-1996,-155,-146,240
11358,2871,-3776,-102,-160,237
10355,1961,-2611,-18,-185,216
8918,-56,365,21,-185,221
7119,-1901,2813,18,-178,235
5952,-2905,5500,-9,-170,250
4194,-3304,4567,-14,-178,243
1699,-3916,4008,-4,-181,233
-1317,-4539,2760,24,-170,227
-4086,-4094,1858,54,-153,239
-6348,-3660,1235,64,-146,240
-8706,-3059,1627,77,-138,245
-9778,-2211,1572,112,-130,249
-8596,-1860,420,136,-131,250
-8657,-565,-3776,135,-127,243
-6658,-98,-6905,115,-110,234
-5955,1094,-5773,98,-103,230
-5757,1574,-5466,88,-93,217
-5626,744,-4818,107,-88,197
-4898,-191,-4005,127,-85,192
-3920,-1401,-3570,108,-69,184
-3475,-1935,-2941,44,-46,188
-3190,-2402,-1941,29,-40,187
-3344,-2806,-1754,49,-59,180
-3295,-2618,-1069,142,-145,152
-2958,-2755,-821,169,-227,126
-961,-3278,-515,218,-307,57
3897,-3348,-734,319,-372,-25
6295,2224,-2917,378,-439,-71
7820,2517,359,105,-287,-58
8960,110,3997,100,-235,-27
9658,4306,3480,118,-223,17
10375,6462,-384,105,-141,93
10899,5576,-5465,77,-126,121
9604,4105,-6763,81,-121,135
7338,2856,-6332,91,-115,166
5182,1171,-2388,77,-112,191
